Item,Link,Per Kit
Jumpers,https://www.amazon.com/dp/B07XMH7MPL?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_3&th=1,-
Red,-,3
Black,-,2
White,-,2
Orange,-,2
Yellow,-,1
Purple,-,1
Grey,-,2
Brown,-,2
Green,-,1
Blue,-,2
Active Components,,
Xaio Esp32C3,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/113991054/16652880,1
5v Buck Converters,https://www.amazon.com/dp/B0BVFTSSSC?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1
H Bridge,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4489/11594498,2
TT Motor,https://www.amazon.com/dp/B09N6NXP4H?ref=ppx_yo2ov_dt_b_fed_asin_title,2
9v Battery,https://www.amazon.com/dp/B07MWPHV25?ref=ppx_yo2ov_dt_b_fed_asin_title,1
Passive Componets,,
Bread Board,https://www.amazon.com/dp/B07LFD4LT6?ref=ppx_yo2ov_dt_b_fed_asin_title,1
Button (Short),https://www.amazon.com/dp/B01CGMP9GY?ref=ppx_yo2ov_dt_b_fed_asin_title,1
7 pin Headers,https://www.digikey.com/en/products/detail/adam-tech/PH1-07-UA/9830505,2
Switch,https://www.amazon.com/dp/B099MRCDG8?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1
9v Battery Lead,https://www.amazon.com/dp/B083QFMXXW?ref=ppx_yo2ov_dt_b_fed_asin_title,1
2-pos Terminal Block,https://www.amazon.com/dp/B01MT4LC0F?ref=ppx_yo2ov_dt_b_fed_asin_title,1
Chassis Componets,,
Body,https://github.com/makr-group/cardbot/tree/main/cardbot%20chassis,1
Connor Bracket,https://github.com/makr-group/cardbot/tree/main/cardbot%20chassis,2
Connor Connector,https://github.com/makr-group/cardbot/tree/main/cardbot%20chassis,4
Tail,https://github.com/makr-group/cardbot/tree/main/cardbot%20chassis,1
Battery Holder,https://github.com/makr-group/cardbot/tree/main/cardbot%20chassis,1
Pin,https://github.com/makr-group/cardbot/tree/main/cardbot%20chassis,2